Timestamp,User ID,Scene,Video A Filename,Video B Filename,Video A Score,Video B Score,Video A Comment,Video B Comment,Video A Is Real,Video B Is Real,Which Video Real,Gameplay Affected,Inform Preference,Visual Cues,Other Cues,Video List Version,Video List Hash,Video List Timestamp
2025-05-23T18:09:13.828Z,NmxkPu7tqf,Pair 10,videos/interpolated_rife_1280_720_30fps.mp4,videos/original_video.mp4,3,4,N/A,N/A,FALSE,FALSE,both,no,no,movement,N/A,1.0.1748023680,4d8c354974be9f7c,2025-05-23T18:08:00.109046+00:00
2025-06-15T14:09:27.190Z,ADBKIeixrc,Pair 27,videos/video_with_degrad_mk11_1080p.mp4,videos/original_video_1280_720.mp4,5,4,N/A,N/A,FALSE,FALSE,none,no,no,textures,N/A,1.0.1748023680,4d8c354974be9f7c,2025-05-23T18:08:00.109046+00:00
2025-06-15T14:09:39.735Z,ADBKIeixrc,Pair 6,videos/original_video_upsampled_from_1280_720_to_1920_1080.mp4,videos/TEMP_TEST.mp4,4,5,N/A,N/A,FALSE,FALSE,none,no,no,background,N/A,1.0.1748023680,4d8c354974be9f7c,2025-05-23T18:08:00.109046+00:00
